[2026-04-07 14:52:17 +0000] [7] [INFO] Starting gunicorn 23.0.0
[2026-04-07 14:52:17 +0000] [7] [INFO] Listening at: http://0.0.0.0:9000 (7)
[2026-04-07 14:52:17 +0000] [7] [INFO] Using worker: gthread
[2026-04-07 14:52:17 +0000] [8] [INFO] Booting worker with pid: 8
127.0.0.1 - - [07/Apr/2026:14:52:31 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=0&name=TestReadStall%2FTestReadFirstByteStallInducedShouldCompleteInLessThanStallTime%2F&prettyPrint=false&projection=full&uploadType=multipart HTTP/1.1" 200 2478 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-fb6403fe)"
127.0.0.1 - - [07/Apr/2026:14:52:31 +0000] "GET /storage/v1/b/test-bucket/o?alt=json&delimiter=%2F&endOffset=&fields=nextPageToken%2Cprefixes%2Citems%28name%2Csize%2Cgeneration%2Cmetageneration%2Cupdated%2Cmetadata%2CcontentEncoding%2Ccrc32c%29&includeFoldersAsPrefixes=false&includeTrailingDelimiter=true&matchGlob=&maxResults=5000&pageToken=&prefix=TestReadStall%2FTestReadFirstByteStallInducedShouldCompleteInLessThanStallTime%2F&prettyPrint=false&projection=noAcl&startOffset=&versions=false HTTP/1.1" 200 366 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-fb6403fe)"
127.0.0.1 - - [07/Apr/2026:14:52:31 +0000] "GET /storage/v1/b/test-bucket/o/TestReadStall%2FTestReadFirstByteStallInducedShouldCompleteInLessThanStallTime%2Ffile.txt%2F?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 245 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-fb6403fe)"
127.0.0.1 - - [07/Apr/2026:14:52:31 +0000] "GET /storage/v1/b/test-bucket/o/TestReadStall%2FTestReadFirstByteStallInducedShouldCompleteInLessThanStallTime%2Ffile.txt?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 244 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-fb6403fe)"
127.0.0.1 - - [07/Apr/2026:14:52:31 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=0&name=TestReadStall%2FTestReadFirstByteStallInducedShouldCompleteInLessThanStallTime%2Ffile.txt&prettyPrint=false&projection=full&uploadType=multipart HTTP/1.1" 200 2543 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-fb6403fe)"
127.0.0.1 - - [07/Apr/2026:14:52:31 +0000] "POST /retry_test HTTP/1.1" 200 151 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:32 +0000] "GET /test-bucket/TestReadStall%2FTestReadFirstByteStallInducedShouldCompleteInLessThanStallTime%2Ffile.txt?generation=1775573537662 HTTP/1.1" 206 5242880 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-fb6403fe)"
127.0.0.1 - - [07/Apr/2026:14:52:36 +0000] "GET /test-bucket/TestReadStall%2FTestReadFirstByteStallInducedShouldCompleteInLessThanStallTime%2Ffile.txt?generation=1775573537662 HTTP/1.1" 200 628 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-fb6403fe)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTesta0dyv%2F?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 191 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTesta0dyv?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 190 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=0&name=StreamingWritesFailureTesta0dyv%2F&prettyPrint=false&projection=full&uploadType=multipart HTTP/1.1" 200 2208 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "GET /storage/v1/b/test-bucket/o?alt=json&delimiter=%2F&endOffset=&fields=nextPageToken%2Cprefixes%2Citems%28size%2Cgeneration%2Cmetageneration%2Cupdated%2Cmetadata%2CcontentEncoding%2Ccrc32c%2Cname%29&includeFoldersAsPrefixes=false&includeTrailingDelimiter=true&matchGlob=&maxResults=5000&pageToken=&prefix=StreamingWritesFailureTesta0dyv%2F&prettyPrint=false&projection=noAcl&startOffset=&versions=false HTTP/1.1" 200 321 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "GET /storage/v1/b/test-bucket?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2636 "-" "google-api-go-client/0.5"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=0&name=StreamingWritesFailureTesta0dyv%2Ffoo1&prettyPrint=false&projection=full&uploadType=multipart HTTP/1.1" 200 2232 "-" "google-api-go-client/0.5"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "GET /test-bucket/StreamingWritesFailureTesta0dyv%2Ffoo1 HTTP/1.1" 200 0 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTesta0dyv%2Ffoo1%2F?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 196 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTesta0dyv%2Ffoo1?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2232 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTesta0dyv%2Ffoo1?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2232 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=1775573537664&ifMetagenerationMatch=1&name=StreamingWritesFailureTesta0dyv%2Ffoo1&prettyPrint=false&projection=full&uploadType=resumable HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=4e3582dc1bb065545302387a17dad298b4afc0166f10f16af5a49d464049962b HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "POST /retry_test HTTP/1.1" 200 143 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=4e3582dc1bb065545302387a17dad298b4afc0166f10f16af5a49d464049962b HTTP/1.1" 412 84 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "GET /test-bucket/StreamingWritesFailureTesta0dyv%2Ffoo1 HTTP/1.1" 200 0 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTesta0dyv%2Ffoo1?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2232 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=1775573537664&ifMetagenerationMatch=1&name=StreamingWritesFailureTesta0dyv%2Ffoo1&prettyPrint=false&projection=full&uploadType=resumable HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=1545f35ac91477cd299cbcf543c62fc00835f9a83ebea17e58c085e52bc33bae HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=1545f35ac91477cd299cbcf543c62fc00835f9a83ebea17e58c085e52bc33bae HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=1545f35ac91477cd299cbcf543c62fc00835f9a83ebea17e58c085e52bc33bae HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=1545f35ac91477cd299cbcf543c62fc00835f9a83ebea17e58c085e52bc33bae HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=1545f35ac91477cd299cbcf543c62fc00835f9a83ebea17e58c085e52bc33bae HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=1545f35ac91477cd299cbcf543c62fc00835f9a83ebea17e58c085e52bc33bae HTTP/1.1" 200 2389 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-56b7c4b5)"
127.0.0.1 - - [07/Apr/2026:14:52:42 +0000] "GET /test-bucket/StreamingWritesFailureTesta0dyv%2Ffoo1 HTTP/1.1" 200 5242880 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest3cnu6?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 190 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest3cnu6%2F?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 191 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=0&name=StreamingWritesFailureTest3cnu6%2F&prettyPrint=false&projection=full&uploadType=multipart HTTP/1.1" 200 2208 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "GET /storage/v1/b/test-bucket/o?alt=json&delimiter=%2F&endOffset=&fields=nextPageToken%2Cprefixes%2Citems%28name%2Csize%2Cgeneration%2Cmetageneration%2Cupdated%2Cmetadata%2CcontentEncoding%2Ccrc32c%29&includeFoldersAsPrefixes=false&includeTrailingDelimiter=true&matchGlob=&maxResults=5000&pageToken=&prefix=StreamingWritesFailureTest3cnu6%2F&prettyPrint=false&projection=noAcl&startOffset=&versions=false HTTP/1.1" 200 321 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "GET /storage/v1/b/test-bucket?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2636 "-" "google-api-go-client/0.5"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=0&name=StreamingWritesFailureTest3cnu6%2Ffoo1&prettyPrint=false&projection=full&uploadType=multipart HTTP/1.1" 200 2232 "-" "google-api-go-client/0.5"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "GET /test-bucket/StreamingWritesFailureTest3cnu6%2Ffoo1 HTTP/1.1" 200 0 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest3cnu6%2Ffoo1%2F?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 196 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest3cnu6%2Ffoo1?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2232 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest3cnu6%2Ffoo1?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2232 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=1775573537667&ifMetagenerationMatch=1&name=StreamingWritesFailureTest3cnu6%2Ffoo1&prettyPrint=false&projection=full&uploadType=resumable HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=5cec6ebde43da3fc5b844c420e1e532fa06db3c6c3de7e7b84bb5a4eaa63f052 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "POST /retry_test HTTP/1.1" 200 143 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=5cec6ebde43da3fc5b844c420e1e532fa06db3c6c3de7e7b84bb5a4eaa63f052 HTTP/1.1" 412 84 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "GET /test-bucket/StreamingWritesFailureTest3cnu6%2Ffoo1 HTTP/1.1" 200 0 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest3cnu6%2Ffoo1?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2232 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest3cnu6%2Ffoo1?alt=json&prettyPrint=false&projection=full HTTP/1.1" 200 2232 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=1775573537667&ifMetagenerationMatch=1&name=StreamingWritesFailureTest3cnu6%2Ffoo1&prettyPrint=false&projection=full&uploadType=resumable HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=dccd4a9ceeb824c458be1eb4c65f95519b18b6ba93f197a1d01c09b7bc828186 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=dccd4a9ceeb824c458be1eb4c65f95519b18b6ba93f197a1d01c09b7bc828186 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=dccd4a9ceeb824c458be1eb4c65f95519b18b6ba93f197a1d01c09b7bc828186 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=dccd4a9ceeb824c458be1eb4c65f95519b18b6ba93f197a1d01c09b7bc828186 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=dccd4a9ceeb824c458be1eb4c65f95519b18b6ba93f197a1d01c09b7bc828186 HTTP/1.1" 200 0 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "POST /upload/storage/v1/b/test-bucket/o?uploadType=resumable&upload_id=dccd4a9ceeb824c458be1eb4c65f95519b18b6ba93f197a1d01c09b7bc828186 HTTP/1.1" 200 2389 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-1e6df96b)"
127.0.0.1 - - [07/Apr/2026:14:52:45 +0000] "GET /test-bucket/StreamingWritesFailureTest3cnu6%2Ffoo1 HTTP/1.1" 200 5242880 "-" "Go-http-client/1.1"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest19bxf%2F?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 191 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "GET /storage/v1/b/test-bucket/o/StreamingWritesFailureTest19bxf?alt=json&prettyPrint=false&projection=full HTTP/1.1" 404 190 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
127.0.0.1 - - [07/Apr/2026:14:52:49 +0000] "POST /upload/storage/v1/b/test-bucket/o?alt=json&ifGenerationMatch=0&name=StreamingWritesFailureTest19bxf%2F&prettyPrint=false&projection=full&uploadType=multipart HTTP/1.1" 200 2208 "-" "gcsfuse/0.0.0 (Go version go1.26.1) (GPN:gcsfuse) (Cfg:0:0:0:1:0:0) (mount-id:test-bucket-6fde855a)"
